textbox22,Textbox9
generated on 01/05/2022 04:23:29 UTC,Data from: All sites

Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,20,2000-05-15,2000-05-21,,1,0,,1,,0,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,21,2000-05-22,2000-05-28,,2,0,,1,,1,2,,,,,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,22,2000-05-29,2000-06-04,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,23,2000-06-05,2000-06-11,,2,0,,0,,1,1,,,1,1,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,24,2000-06-12,2000-06-18,,5,0,,1,,2,3,,,4,4,7,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,25,2000-06-19,2000-06-25,,5,0,,0,,2,2,,,3,3,5,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,26,2000-06-26,2000-07-02,,4,0,,0,,2,2,,,2,2,4,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,27,2000-07-03,2000-07-09,,6,,,,,3,3,,,3,3,6,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,28,2000-07-10,2000-07-16,,14,0,,0,,9,9,,,5,5,14,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,29,2000-07-17,2000-07-23,,34,0,,3,,19,22,,,12,12,34,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,30,2000-07-24,2000-07-30,,37,2,,1,,22,25,,,12,12,37,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,31,2000-07-31,2000-08-06,,29,0,,1,,18,19,,,10,10,29,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,32,2000-08-07,2000-08-13,,37,2,,3,,16,21,,,15,15,36,,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,33,2000-08-14,2000-08-20,,53,1,,1,,39,41,,,12,12,53,,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,34,2000-08-21,2000-08-27,,68,2,,11,,41,54,,,18,18,72,,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,35,2000-08-28,2000-09-03,,55,0,,0,,44,44,,,10,10,54,,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,36,2000-09-04,2000-09-10,,40,0,,0,,36,36,,,4,4,40,,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,37,2000-09-11,2000-09-17,,32,0,,0,,25,25,,,7,7,32,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,38,2000-09-18,2000-09-24,,18,0,,0,,10,10,,,8,8,18,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,39,2000-09-25,2000-10-01,,15,0,,0,,9,9,,,6,6,15,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,40,2000-10-02,2000-10-08,,25,0,,0,,16,16,,,9,9,25,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,41,2000-10-09,2000-10-15,,10,0,,0,,6,6,,,4,4,10,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,42,2000-10-16,2000-10-22,,5,,,,,3,3,,,2,2,5,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,43,2000-10-23,2000-10-29,,2,,,,,1,1,,,1,1,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,44,2000-10-30,2000-11-05,,5,,,,,1,1,,,4,4,5,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,45,2000-11-06,2000-11-12,,1,0,,0,,0,0,,,1,1,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,46,2000-11-13,2000-11-19,,1,0,,0,,0,0,,,1,1,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,47,2000-11-20,2000-11-26,,1,0,,0,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,48,2000-11-27,2000-12-03,,3,0,,0,,3,3,,,,,3,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,49,2000-12-04,2000-12-10,,1,0,,0,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,50,2000-12-11,2000-12-17,,1,0,,0,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,51,2000-12-18,2000-12-24,,,,,,,,,,,,,,,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2000,52,2000-12-25,2000-12-31,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,1,2001-01-01,2001-01-07,,2,0,,0,,0,0,,,2,2,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,2,2001-01-08,2001-01-14,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,3,2001-01-15,2001-01-21,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,4,2001-01-22,2001-01-28,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,5,2001-01-29,2001-02-04,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,6,2001-02-05,2001-02-11,,2,0,,0,,0,0,,,2,2,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,7,2001-02-12,2001-02-18,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,8,2001-02-19,2001-02-25,,1,0,,0,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,9,2001-02-26,2001-03-04,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,10,2001-03-05,2001-03-11,,2,0,,0,,1,1,,,1,1,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,11,2001-03-12,2001-03-18,,1,0,,1,,0,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,12,2001-03-19,2001-03-25,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,13,2001-03-26,2001-04-01,,1,0,,1,,0,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,14,2001-04-02,2001-04-08,,,,,,,,,,,,,,,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,15,2001-04-09,2001-04-15,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,16,2001-04-16,2001-04-22,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,17,2001-04-23,2001-04-29,,1,0,,0,,0,0,,,1,1,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,18,2001-04-30,2001-05-06,,,,,,,,,,,,,,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,19,2001-05-07,2001-05-13,,,,,,,,,,,,,,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,20,2001-05-14,2001-05-20,,3,1,,1,,,2,,,1,1,3,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,21,2001-05-21,2001-05-27,,,,,,,,,,,,,,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,22,2001-05-28,2001-06-03,,,,,,,,,,,,,,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,23,2001-06-04,2001-06-10,,,,,,,,,,,,,,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,24,2001-06-11,2001-06-17,,1,0,,0,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,25,2001-06-18,2001-06-24,,2,0,,0,,2,2,,,,,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,26,2001-06-25,2001-07-01,,2,0,,0,,2,2,,,,,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,27,2001-07-02,2001-07-08,,12,2,,0,,9,11,,,1,1,12,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,28,2001-07-09,2001-07-15,,4,0,,0,,4,4,,,,,4,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,29,2001-07-16,2001-07-22,,18,0,,0,,18,18,,,1,1,19,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,30,2001-07-23,2001-07-29,,12,4,,0,,7,11,,,1,1,12,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,31,2001-07-30,2001-08-05,,21,9,,3,,8,20,,,1,1,21,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,32,2001-08-06,2001-08-12,,19,6,,2,,10,18,,,,,18,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,33,2001-08-13,2001-08-19,,19,11,,1,,7,19,,,,,19,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,34,2001-08-20,2001-08-26,,13,7,,0,,5,12,,,1,1,13,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,35,2001-08-27,2001-09-02,,9,5,,0,,3,8,,,1,1,9,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,36,2001-09-03,2001-09-09,,4,0,,0,,4,4,,,,,4,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,37,2001-09-10,2001-09-16,,3,,,,,2,2,,,1,1,3,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,38,2001-09-17,2001-09-23,,2,,,,,,,,,2,2,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,39,2001-09-24,2001-09-30,,,,,,,,,,,3,3,3,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,40,2001-10-01,2001-10-07,,1,,,,,,,,,1,1,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,41,2001-10-08,2001-10-14,,,,,,,,,,,,,,,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,42,2001-10-15,2001-10-21,,,,,,,,,,,,,,,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,43,2001-10-22,2001-10-28,,1,,,,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,44,2001-10-29,2001-11-04,,,,,,,,,,,,,,,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,45,2001-11-05,2001-11-11,,1,,,,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,46,2001-11-12,2001-11-18,,,,,,,,,,,,,,,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,47,2001-11-19,2001-11-25,,,,,,,,,,,,,,,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,48,2001-11-26,2001-12-02,,,,,,,,,,,,,,,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,49,2001-12-03,2001-12-09,,,,,,,,,,,,,,,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,50,2001-12-10,2001-12-16,,,,,,,,,,,,,,,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,51,2001-12-17,2001-12-23,,,,,,,,,,,,,,,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2001,52,2001-12-24,2001-12-30,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,1,2001-12-31,2002-01-06,,1,0,,1,,0,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,2,2002-01-07,2002-01-13,,15,0,,15,,1,16,,,,,16,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,3,2002-01-14,2002-01-20,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,4,2002-01-21,2002-01-27,,1,0,,1,,0,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,5,2002-01-28,2002-02-03,,2,0,,0,,1,1,,,1,1,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,6,2002-02-04,2002-02-10,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,7,2002-02-11,2002-02-17,,2,0,,0,,1,1,,,1,1,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,8,2002-02-18,2002-02-24,,1,0,,0,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,9,2002-02-25,2002-03-03,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,10,2002-03-04,2002-03-10,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,11,2002-03-11,2002-03-17,,5,0,,5,,0,5,,,,,5,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,12,2002-03-18,2002-03-24,,17,0,,0,,17,17,,,,,17,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,13,2002-03-25,2002-03-31,,2,0,,0,,1,1,,,1,1,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,14,2002-04-01,2002-04-07,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,15,2002-04-08,2002-04-14,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,16,2002-04-15,2002-04-21,,1,0,,0,,0,0,,,1,1,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,17,2002-04-22,2002-04-28,,2,0,,1,,0,1,,,1,1,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,18,2002-04-29,2002-05-05,,6,0,,0,,0,0,,,6,6,6,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,19,2002-05-06,2002-05-12,,6,0,,1,,0,1,,,5,5,6,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,20,2002-05-13,2002-05-19,,8,0,,1,,0,1,,,7,7,8,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,21,2002-05-20,2002-05-26,,23,,,7,,2,9,,,14,14,23,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,22,2002-05-27,2002-06-02,,37,0,,9,,1,10,,,27,27,37,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,23,2002-06-03,2002-06-09,,48,0,,11,,6,17,,,31,31,48,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,24,2002-06-10,2002-06-16,,45,0,,7,,3,10,,,35,35,45,,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,25,2002-06-17,2002-06-23,,33,0,,11,,4,15,,,18,18,33,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,26,2002-06-24,2002-06-30,,50,0,,14,,14,28,,,22,22,50,,Widespread Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,27,2002-07-01,2002-07-07,,54,0,,18,,24,42,,,12,12,54,,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,28,2002-07-08,2002-07-14,,46,0,,16,,19,35,,,11,11,46,,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,29,2002-07-15,2002-07-21,,37,,,,,30,30,,,7,7,37,,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,30,2002-07-22,2002-07-28,,46,,,,,42,42,,,4,4,46,,Regional Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,31,2002-07-29,2002-08-04,,30,,,,,28,28,,,2,2,30,,Widespread Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,32,2002-08-05,2002-08-11,,63,,,,,60,60,,,3,3,63,,Widespread Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,33,2002-08-12,2002-08-18,,14,,,,,14,14,,,,,14,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,34,2002-08-19,2002-08-25,,11,0,,0,,11,11,,,,,11,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,35,2002-08-26,2002-09-01,,11,,,,,10,10,,,1,1,11,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,36,2002-09-02,2002-09-08,,3,,,,,3,3,,,,,3,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,37,2002-09-09,2002-09-15,,1,,,,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,38,2002-09-16,2002-09-22,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,39,2002-09-23,2002-09-29,,6,0,,0,,6,6,,,,,6,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,40,2002-09-30,2002-10-06,,2,0,,0,,2,2,,,,,2,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,41,2002-10-07,2002-10-13,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,42,2002-10-14,2002-10-20,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,43,2002-10-21,2002-10-27,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,44,2002-10-28,2002-11-03,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,45,2002-11-04,2002-11-10,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,46,2002-11-11,2002-11-17,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,47,2002-11-18,2002-11-24,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,48,2002-11-25,2002-12-01,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,49,2002-12-02,2002-12-08,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,50,2002-12-09,2002-12-15,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,51,2002-12-16,2002-12-22,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2002,52,2002-12-23,2002-12-29,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,1,2002-12-30,2003-01-05,,1,0,,1,,0,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,2,2003-01-06,2003-01-12,,14,0,,5,,9,14,,,,,14,,Local Outbreak
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,3,2003-01-13,2003-01-19,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,4,2003-01-20,2003-01-26,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,5,2003-01-27,2003-02-02,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,6,2003-02-03,2003-02-09,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,7,2003-02-10,2003-02-16,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,8,2003-02-17,2003-02-23,,0,0,,0,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,9,2003-02-24,2003-03-02,,1,,,1,,,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,10,2003-03-03,2003-03-09,,0,,,,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,11,2003-03-10,2003-03-16,,0,,,,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,12,2003-03-17,2003-03-23,,0,,,,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,13,2003-03-24,2003-03-30,,0,,,,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,14,2003-03-31,2003-04-06,,1,,,,,1,1,,,,,1,,Sporadic
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,15,2003-04-07,2003-04-13,,0,,,,,0,0,,,,,0,,No Report
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,16,2003-04-14,2003-04-20,,0,,,,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,17,2003-04-21,2003-04-27,,0,,,,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,18,2003-04-28,2003-05-04,,0,,,,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,19,2003-05-05,2003-05-11,,0,,,,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,20,2003-05-12,2003-05-18,,0,,,,,0,0,,,,,0,,No Activity
Australia,Western Pacific Region of WHO,Oceania Melanesia Polynesia,2003,21,2003-05-19,2003-05-25,,0,,,,,0,0,,,,,0,,No Activity
